id,title,description,price,url,avg_review,image,company,tags,category,github_link,require_license,updated_at,created_at
1635,Magento 2 Marketplace Advanced Booking System,Magento 2 Marketplace Advanced Booking System: Magento 2 Marketplace Advanced ...,249.00,https://store.webkul.com/magento2-marketplace-advanced-booking.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/m/a/magento_2_marketplace_advanced_booking_1.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1636,Marketplace Web Push Notification For Magento 2,"Marketplace Web Push Notification for Magento 2: With this marketplace add-on,...",199.00,https://store.webkul.com/magento2-multi-vendor-push-notifications.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/m/a/marketplace-push-notification_1.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1637,Size Chart for Magento 2,Size Chart for Magento 2 : Size Chart module allows you to display customizabl...,49.00,https://store.webkul.com/Size-Chart-Magento2.html,1 Review(s),https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/s/i/size-chart.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1638,Order Tag for Magento 2,Order Tag for Magento 2: This module provides a better order management proced...,49.00,https://store.webkul.com/magento2-order-tag.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/m/a/magento-2-order-tag.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1639,B2B Sales Representative for Magento 2,B2B Sales Representative for Magento 2: Now create sales reps users in your on...,249.00,https://store.webkul.com/magento2-sales-rep.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/m/2/m2-sales-rep.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1640,Daily Deals For Magento 2,Daily Deal For Magento 2 : This module allows the admin to set up daily deals ...,39.00,https://store.webkul.com/magento2-daily-deal.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/d/a/daily-deals_2.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1641,Magento 2 Server Migration,Magento 2 Server Migration: Migrate your Magento 1.x store (1.6 to 1.9) to Mag...,599.00,https://store.webkul.com/Magento2-Server-Migration.html,1 Review(s),https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/c/l/cloudkul-gold-plan_1__2.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1642,POS Barcode Label for Magento 2,"POS Barcode Label for Magento 2: Using this POS add-on, the store owner can de...",49.00,https://store.webkul.com/magento2-pos-barcode-label.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/m/2/m2-pos-barcode-label.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1643,Magento 2 Print Catalog,Magento 2 Print Catalog: Magento 2 Print Catalog allows the store admin to gen...,199.00,https://store.webkul.com/magento2-print-catalog.html,null,https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/p/r/print-catalog.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
1644,React Native POS App for Magento 2,React Native POS App for Magento 2: The Magento 2 POS(Point Of Sale) is a nati...,499.00,https://store.webkul.com/magento2-native-pos-app.html,1 Review(s),https://store.webkul.com/media/catalog/product/cache/1/small_image/9df78eab33525d08d6e5fb8d27136e95/p/o/pos-react-native-product-image-2.png,Webkul,"","","",0,2020-05-02 21:07:16,2020-05-02 21:07:16
